"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"R163","1","2.2","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C334.pdf","10-ERJ-U02F2R20XTR-ND","","ERJ-U02F2R20X","RES 2.2 OHM 1% 1/10W 0402"
"R164","1","100k","","","","","","","","","Resistor"
"R165","1","51","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P51.0LTR-ND","","ERJ-2RKF51R0X","RES SMD 51 OHM 1% 1/10W 0402"
"R166","1","51","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P51.0LTR-ND","","ERJ-2RKF51R0X","RES SMD 51 OHM 1% 1/10W 0402"
"R167","1","220","","","","","","","","","Resistor"
"R168","1","10k","","","","","","","","","Resistor"
"R169","1","10k","","","","","","","","","Resistor"
"R170","1","470","","","","","","","","","Resistor"
"R171","1","4.7k","","","","","","","","","Resistor"
"R172","1","470","","","","","","","","","Resistor"
"R173","1","22k","","","","","","","","","Resistor"
"R174","1","47k","","","","","","","","","Resistor"
"R175","1","47k","","","","","","","","","Resistor"
"R176","1","100k","","","","","","","","","Resistor"
"R177","1","49.9","","","","","","","","","Resistor"
"R178","1","100","","","","","","","","","Resistor"
"R179","1","10k","","","","","","","","","Resistor"
"R180","1","10k","","","","","","","","","Resistor"
"R181","1","1k","","","","","","","","","Resistor"
"R182","1","100k","","","","","","","","","Resistor"
"R183","1","33","","","","","","","","","Resistor"
"R184","1","33","","","","","","","","","Resistor"
"R185","1","1.5k","","","","","","","","","Resistor"
"R186","1","30.1k","","","","","","","","","Resistor"
"R187","1","22","","","","","","","","","Resistor"
"R188","1","100k","","","","","","","","","Resistor"
"R189","1","22","","","","","","","","","Resistor"
"R190","1","10k","","","","","","","","","Resistor"
"R191","1","10k","","","","","","","","","Resistor"
"R192","1","10k","","","","","","","","","Resistor"
"R193","1","10k","","","","","","","","","Resistor"
"R194","1","10k","","","","","","","","","Resistor"
"R195","1","10k","","","","","","","","","Resistor"
"R196","1","10k","","","","","","","","","Resistor"
"R197","1","10k","","","","","","","","","Resistor"
"R198","1","10k","","","","","","","","","Resistor"
"R199","1","10k","","","","","","","","","Resistor"
"R200","1","10k","","","","","","","","","Resistor"
"R201","1","10k","","","","","","","","","Resistor"
"R202","1","4.7k","","","","","","","","","Resistor"
"R203","1","4.7k","","","","","","","","","Resistor"
"R204","1","10k","","","","","","","","","Resistor"
"R205","1","10k","","","","","","","","","Resistor"
"R206","1","10k","","","","","","","","","Resistor"
"R207","1","10k","","","","","","","","","Resistor"
"R208","1","10k","","","","","","","","","Resistor"
"R209","1","10k","","","","","","","","","Resistor"
"R210","1","22","","","","0805","https://www.ohmite.com/assets/images/res-kdv.pdf","273-KDV08DR150ETCT-ND","Ohmite","KDV08DR150ET","RES 0.15 OHM 0.5% 1/4W 0805"
"R211","1","22","","","","0805","https://www.ohmite.com/assets/images/res-kdv.pdf","273-KDV08DR150ETCT-ND","Ohmite","KDV08DR150ET","RES 0.15 OHM 0.5% 1/4W 0805"
"R212","1","10k","","","","","","","","","Resistor"
"R213","1","100k","","","","","","","","","Resistor"
"TP1","1","TestPoint","","","","","","","","","test point"
"U1","1","TPD4EUSB30","","","","10-USON","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4eusb30","296-28063-2-ND","Texas Instruments","TPD4EUSB30DQAR","TVS DIODE 5.5VWM 8VC 10USON"
"U2","1","LMV393","","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","Dual General-Purpose Low-Voltage Comparator, SOIC-8/TSSOP-8/VSSOP-8"
"U3","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U4","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U5","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U6","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U7","1","FDMQ8205A","","","","12-MLP","https://www.onsemi.com/pdf/datasheet/fdmq8205a-d.pdf","FDMQ8205AOSTR-ND","On Semiconductor","FDMQ8205A","GREENBRIDGETM 2 SERIES OF HIGH-E"
"U8","1","FDMQ8205A","","","","12-MLP","https://www.onsemi.com/pdf/datasheet/fdmq8205a-d.pdf","FDMQ8205AOSTR-ND","On Semiconductor","FDMQ8205A","GREENBRIDGETM 2 SERIES OF HIGH-E"
"U9","1","NCP1095DBR2","","","","16-TSSOP","https://www.onsemi.com/pdf/datasheet/ncp1095-d.pdf","NCP1095DBR2OSTR-ND","","NCP1095DBR2","IC POE CNTRL 1 CHANNEL 16TSSOP"
"U10","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U11","1","LAN8742AI-CZ-TR","","","","LAN8742AI-CZ-TR:QFN50P400X400X100-25N","","","Microchip","",""
"U12","1","STM32H563VIT6","","","","100-LQFP","https://www.st.com/resource/en/datasheet/stm32h562ag.pdf","497-STM32H563VIT6-ND","STMicroelectronics","STM32H563VIT6","IC MCU 32BIT 2MB FLASH 100LQFP"
"U13","1","LT3045xDD","","","","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3045fa.pdf","","","","500mA, Adjustable, Ultralow Noise, Ultrahigh PSRR Linear Regulator, DFN-10"
"U14","1","MCP1502T-33E/CHY","","","","SOT-23-6","https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP1502-Data-Sheet-20006593B.pdf","","","","IC VREF SERIES 3.3V SOT23-6"
"U15","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U16","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U17","1","TPD4E05U06DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e05u06","","","",""
