Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
D14,1,SMAJ15CA,DO-214AC,Diode,,,,Littelfuse,SMAJ15CA,TVS 15Vwm bidir 400W,KEEP,DO-214AC (SMA),Rb IO
D15,1,BAT54J,Diode_SMD:D_SOD-323F,Diode,,,,Nexperia,BAT54J,Schottky 30V 200mA,KEEP,SOD-323F,Rb IO
D16,1,3V3,SOT-23,Diode,,,,onsemi,BZX84C3V3LT1G,Zener 3.3V; confirm pkg (fp blank as-built),SELECT,SOT-23,Rb IO
D17,1,BAT54J,Diode_SMD:D_SOD-323F,Diode,,,,Nexperia,BAT54J,Schottky 30V 200mA,KEEP,SOD-323F,Rb IO
D18,1,BAT54S,Package_TO_SOT_SMD:SOT-23,Diode,,,,Nexperia,BAT54S,Dual series Schottky 30V 200mA,KEEP,SOT-23,Refrence Clock Input
D19,1,BAT54S,Package_TO_SOT_SMD:SOT-23,Diode,,,,Nexperia,BAT54S,Dual series Schottky 30V 200mA,KEEP,SOT-23,Refrence Clock Input
D20,1,3V3,SOT-23,Diode,,,,onsemi,BZX84C3V3LT1G,Zener 3.3V; confirm pkg (fp blank as-built),SELECT,SOT-23,Refrence Clock Input
D21,1,3V3,SOT-23,Diode,,,,onsemi,BZX84C3V3LT1G,Zener 3.3V; confirm pkg (fp blank as-built),SELECT,SOT-23,Refrence Clock Input
D22,1,SMF5V0A,Diode_SMD:D_SMF,Diode,,,,Littelfuse,SMF5.0A,TVS 5Vwm unidir 200W,KEEP,SMF/DO-219AB,Connectors
D23,1,SZESD7410MXWT5G,X2-DFN,Diode,,,,onsemi,SZESD7410MXWT5G,ESD protection diode,KEEP,X2-DFN,Connectors
D24,1,BAT54J,Diode_SMD:D_SOD-323F,Diode,,,,Nexperia,BAT54J,Schottky 30V 200mA,KEEP,SOD-323F,WDT
D25,1,BZX84C12,SOT-23,Diode,,,,onsemi,BZX84C12LT1G,Zener 12V 300mW,KEEP,SOT-23,Rb Power
FB1,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,Ethernet PHY
FB2,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,STM32
FB3,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,GPS
FB4,1,120,L_0402_1005Metric,Ferrite bead,,,500mA,Murata,BLM15HD121SN1D,FERRITE BEAD 120ohm 0402,STD,120ohm@100MHz,GPS Antenna
FB5,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,GPS Antenna
FB6,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,GPS Antenna
FB7,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,5V/3.3V Main Power Supply
FB8,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,Rb Power
FB9,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,Refrence Clock Input
FB10,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,Clock MUX
FB11,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,Battery Backup Supplies
FB12,1,600,L_1206_3216Metric,Ferrite bead,,,3A,Murata,BLM31PG601SN1L,FERRITE BEAD 600ohm 1206,STD,600ohm@100MHz,LED
J1,1,0826-1X1T-HS-F,,,,,,Bel/Stewart,0826-1X1T-HS-F,RJ45 magjack 1000BASE-T,KEEP,,Ethernet Input
J2,1,Conn_01x04_Pin,,,,,,,,1x4 2.54mm header - assign PN,SELECT,,Connectors
J3,1,Conn_01x06_Pin,Library:GCT_BG055-06A-1-0450-0530-0350-L-D,,,,,GCT,BG055-06A-1-0450-0530-0350-L-D,1x6 2.54mm header,KEEP,,Connectors
J4,1,Conn_01x14_Pin,,,,,,,,1x14 2.54mm header - assign PN,SELECT,,Connectors
J5,1,USB4120-03-C_REVA6,USB4120-03-C_REVA6:GCT_USB4120-03-C_REVA6,,,,,GCT,USB4120-03-C,USB Type-C receptacle,KEEP,,Connectors
J6,1,DE9_Socket_MountingHoles,,,,,,,,DE-9 socket (RS-232) - assign PN,SELECT,,Connectors
J7,1,Conn_Coaxial,,,,,,,,SMA coax connector - assign PN,SELECT,,Connectors
J8,1,Conn_Coaxial,,,,,,,,SMA coax connector - assign PN,SELECT,,Connectors
J9,1,Conn_Coaxial,,,,,,,,SMA coax connector - assign PN,SELECT,,Connectors
J10,1,Conn_01x02_Pin,,,,,,,,1x2 2.54mm header - assign PN,SELECT,,Connectors
J11,1,Conn_01x08_Pin,,,,,,,,1x8 2.54mm header - assign PN,SELECT,,Connectors
J12,1,06SR-3S,,,,,,JST,06SR-3S,JST SR 6-pin 2.5mm connector,KEEP,,Connectors
