"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"C37,C98,C99,C101","4","0.1uF","","","","1210 (3225 Metric)","https://yageogroup.com/content/datasheet/asset/file/KEM_C1022_C0G_AUTO_SMD","399-15804-1-ND","KEMET","C1210C104J5GACAUTO","CAP CER 0.1UF 50V C0G/NP0 1210"
"C49","1","0.47uF","","","","0603 (1608 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT188R71C474KE01-01.pdf","490-GRT188R71C474KE01DCT-ND","Murata Electronics","GRT188R71C474KE01D","CAP CER 0.47UF 16V X7R 0603"
"C63,C106,C110,C116,C119,C148,C151,C155,C190,C192,C206","11","10nF","","","","0402 (1005 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H103KA55-01.pdf,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155R71C103KE01-01.pdf","490-4762-1-ND,490-GRT155R71C103KE01JCT-ND","Murata Electronics","GCM155R71H103KA55D,GRT155R71C103KE01J","CAP CER 10000PF 16V X7R 0402,CAP CER 10000PF 50V X7R 0402"
"C69,C70,C108","3","4.7nF","","","","0402 (1005 Metric)","https://yageogroup.com/content/datasheet/asset/file/KEM_C1090_X7R_ESD","399-17875-1-ND","KEMET","C0402C472K4RECAUTO","CAP CER 0402 4.7NF 16V X7R 10%"
"C71,C72","2","47uF","","","","1210 (3225 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT32EC81C476KE13-01.pdf","490-12494-1-ND","Murata Electronics","GRT32EC81C476KE13L","CAP CER 47UF 16V X6S 1210"
"C75,C77,C80,C133,C134,C136","6","2.2uF","","","","2220 (5750 Metric)","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf","445-7950-1-ND","TDK","CGA9P3X7T2E225K250KA","CAP CER 2.2UF 250V X7T 2220"
"C90,C91","2","3F","","","","Radial","https://www.cde.com/resources/catalogs/DSF.pdf","338-DSF305Q3R0-ND","Cornell Dubilier","DSF305Q3R0","CAP CER 3F 3V EDLC Radial"
"C92,C93,C94,C95,C96,C97,C109,C117","8","22uF","","","","0805 (2012 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT21BR61C226ME13-01.pdf","490-GRT21BR61C226ME13KCT-ND","Murata Electronics","GRT21BR61C226ME13K","CAP CER 22UF 16V X5R 0805"
"C125","1","47nF","","","","0402 (1005 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H473KE02-01.pdf","490-14515-1-ND","Murata Electronics","GCM155R71H473KE02J","CAP CER 0.047UF 50V X7R 0402"
"C126,C127,C128","3","47uF","","","","Stacked SMD, 2 J-Lead","https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/KCM55_E-EN_PDF_CERAMICCAPACITORSMD","490-KCM55WR71H476MH13LCT-ND","Murata Electronics","KCM55WR71H476MH13L","47 µF ±20% 50V Ceramic Capacitor X7R Stacked SMD, 2 J-Lead"
